crime_rate,residential_land,nitric_oxides,avg_room,weighted_distances,property_tax,pupil_teacher,corporate_proportion,lower_status,homes_under_1000,radial_highwaysfar,radial_highwaysfarthest
11.5779,0,0.7,5.036,1.77,666,20.2,396.9,25.68,9.7,0,1
0.1415,0,0.448,6.169,5.7209,233,17.9,383.37,5.81,25.3,0,0
0.37578,0,0.489,5.404,3.665,277,18.6,395.24,23.98,19.3,1,0
0.0315,45,0.403,6.975,7.6534,402,17,396.9,4.56,34.9,0,0
0.07013,0,0.55,6.642,3.4211,276,16.4,392.78,9.69,28.7,1,0
15.8744,0,0.671,6.545,1.5192,666,20.2,396.9,21.08,10.9,0,1
0.1712,0,0.52,5.836,2.211,384,20.9,395.67,18.66,19.5,1,0
0.09299,0,0.581,5.961,2.0869,188,19.1,378.09,17.93,20.5,0,0
4.55587,0,0.718,3.561,1.6132,666,20.2,354.7,7.12,27.5,0,1
0.07503,33,0.472,7.42,3.0992,222,18.4,396.9,6.47,33.4,0,1
0.12744,0,0.448,6.77,5.7209,233,17.9,385.41,4.84,26.6,0,0
2.81838,0,0.532,5.762,4.0983,666,20.2,392.92,10.42,21.8,0,1
0.95577,0,0.538,6.047,4.4534,307,21,306.38,17.28,14.8,1,0
0.26838,0,0.585,5.794,2.8927,391,19.2,396.9,14.1,18.3,1,0
0.01501,45,0.435,6.635,8.344,280,17,390.94,5.99,24.5,1,0
0.07022,0,0.51,6.02,3.5549,296,16.6,393.23,10.11,23.2,1,0
0.15098,0,0.547,6.021,2.7474,432,17.8,394.51,10.3,19.2,1,0
9.18702,0,0.7,5.536,1.5804,666,20.2,396.9,23.6,11.3,0,1
6.39312,0,0.584,6.162,2.206,666,20.2,302.76,24.1,13.3,0,1
1.42502,0,0.871,6.51,1.7659,403,14.7,364.31,7.39,23.3,1,0
0.84054,0,0.538,5.599,4.4546,307,21,303.42,16.51,13.9,1,0
