                           car_ID     symboling    fueltype   aspiration   doornumber enginelocation
CarNameporsche       -1.093558e-01  0.359580776    0.294729507      0.019518001 -0.1483858100 -0.058925565
CarNamerenault        3.594597e-03 -0.045855779   -0.020002250      0.033184436 -0.0931513914  0.114673330
CarNamesaab          -8.639201e-02  0.042413913   -0.034991372      0.058051914  0.0110335071 -0.064711704
CarNamesubaru        -4.426546e-05 -0.148167054   -0.050248586     -0.048094713 -0.0257979726  0.161074877
CarNametoyota         1.349187e-01 -0.182997066    0.121539740      0.087101695 -0.1342777296  0.004007059
CarNamevolkswagen     1.763211e-01 -0.094943228   -0.045634634     -0.163066530  0.1959192455 -0.015191091
CarNamevolvo         -1.709924e-01  0.143017238   -0.047985205     -0.171465841  0.1235852880  0.109717386
CarNamevw            -2.530314e-02 -0.031003168   -0.020002250      0.033184436 -0.0931513914 -0.036991397
CarNamealpha         -7.245967e-02  0.033972907   -0.024558216     -0.002089382 -0.1143687331 -0.045417026
                     carbodyconvertible drivewheelfwd drivewheelrwd drivewheel4wd enginetypedohcv  enginetypel
car_ID                      -0.02445174  -0.101394516   0.081235757   0.052304131     0.031944097  0.009129479
symboling                    0.27943962   0.102838849  -0.076381160  -0.067221967     0.009347499 -0.133978617
fueltype                    -0.05709239  -0.090342486   0.122035118  -0.070456709    -0.023020463  0.268163409
aspiration                   0.08148831   0.145680828  -0.112470173  -0.085161699     0.032857244 -0.207156119
doornumber                  -0.19628032   0.033577537  -0.073957879   0.093613940    -0.079143013  0.178718125
enginelocation              -0.21983819   0.144799180  -0.158771666   0.026114286     0.008532374  0.030387636
wheelbase                   -0.17507100  -0.460355093   0.498829873  -0.069003084    -0.004156097  0.399603095
carlength                   -0.05172208  -0.508713892   0.538370342  -0.045934185     0.009390820  0.261715321
carwidth                    -0.02632807  -0.472116424   0.511148945  -0.069763526     0.209135721  0.210770891
carheight                   -0.16323866  -0.100273248   0.039813858   0.147260153    -0.092628325  0.319686676
curbweight                   0.08227216  -0.666039449   0.669987239   0.022090473     0.109242952  0.250123814
enginesize                   0.12648287  -0.518391485   0.565508701  -0.086641796     0.128248073  0.016062892
boreratio                    0.10405606  -0.583086742   0.574104942   0.048661599     0.158136261  0.181728941
stroke                      -0.11771760   0.124396839  -0.022324828  -0.246499255    -0.032544901 -0.084688127
compressionratio            -0.05299033  -0.062683272   0.105184502  -0.097241883    -0.002518602  0.219152651
horsepower                   0.12126730  -0.544438277   0.575564319  -0.047714689     0.326366626 -0.054469221
peakrpm                      0.01211972   0.124550982  -0.086159396  -0.096379691     0.091946822 -0.220599475
citympg                     -0.12557064   0.563879012  -0.545788887  -0.069229047    -0.088180562 -0.027491095
highwaympg                  -0.12009393   0.600828345  -0.566148677  -0.110080762    -0.028039937 -0.069614816
price                        0.18768121  -0.601950297   0.638956539  -0.058866139     0.159225044  0.042267238
carbodyhardtop              -0.03499137  -0.188307995   0.210390319  -0.043182233    -0.014109018 -0.050248586
carbodyhatchback            -0.12503489   0.167552114  -0.148046215  -0.053883710     0.097230559 -0.135733967
carbodysedan                -0.16295641   0.015971106   0.008293327  -0.057956372    -0.065706341  0.057486821
carbodywagon                -0.06471170  -0.079705340  -0.008280466   0.211184198    -0.026092679  0.161074877
carbodyconvertible           1.00000000  -0.147572345   0.166306204  -0.037208512    -0.012157212 -0.043297324
drivewheelfwd               -0.14757235   1.000000000  -0.911996352  -0.254609368    -0.083189033 -0.254095863
drivewheelrwd                0.16630620  -0.911996352   1.000000000  -0.164476994     0.091216410  0.281841592
drivewheel4wd               -0.03720851  -0.254609368  -0.164476994   1.000000000    -0.015003001 -0.053432462
enginetypedohcv             -0.01215721  -0.083189033   0.091216410  -0.015003001     1.000000000 -0.017458096
enginetypel                 -0.04329732  -0.254095863   0.281841592  -0.053432462    -0.017458096  1.000000000
enginetypeohc               -0.15061126   0.450078335  -0.402779151  -0.132724893    -0.112817987 -0.401795805
enginetypeohcf               0.06234093  -0.067697144  -0.099319660   0.396933987    -0.019672237 -0.070061720
enginetypeohcv               0.07356636  -0.187287776   0.214684443  -0.055758911    -0.018218222 -0.064883315
enginetyperotor             -0.02449520  -0.167615095   0.183789216  -0.030229098    -0.009876814 -0.035175796
enginetypedohc               0.20325688  -0.211918007   0.238820352  -0.053432462    -0.017458096 -0.062176166
cylindernumberfive          -0.04134705  -0.063230224  -0.003498011   0.160292754    -0.016671719 -0.059375523
cylindernumberfour          -0.04534456   0.425480616  -0.434460861   0.001113610    -0.130168099  0.084310705
cylindernumbersix            0.02678445  -0.340269648   0.380172068  -0.078029631    -0.025494779 -0.090798422
cylindernumberthree         -0.01215721   0.058925565  -0.053739900  -0.015003001    -0.004901961  0.280784382
cylindernumbertwelve        -0.01215721  -0.083189033   0.091216410  -0.015003001    -0.004901961 -0.017458096
cylindernumbertwo           -0.02449520  -0.167615095   0.183789216  -0.030229098    -0.009876814 -0.035175796
cylindernumbereight          0.16015330  -0.187867287   0.205995657  -0.033881546     0.442807443 -0.039425932
fuelsystem2bbl              -0.11965026   0.410403497  -0.464055954   0.107139252    -0.048244686 -0.127347216
fuelsystem4bbl              -0.02116089  -0.144799180   0.158771666  -0.026114286    -0.008532374 -0.030387636
fuelsystemidi               -0.05709239  -0.090342486   0.122035118  -0.070456709    -0.023020463  0.268163409
fuelsystemmpfi               0.18684592  -0.429087137   0.441124995  -0.008151933     0.075338931  0.018294270
fuelsystemspdi              -0.03720851   0.132019672  -0.115181988  -0.045918367    -0.015003001 -0.053432462
fuelsystemspfi              -0.01215721  -0.083189033   0.091216410  -0.015003001    -0.004901961 -0.017458096
fuelsystem1bbl              -0.04134705   0.200407660  -0.182771055  -0.051025668    -0.016671719 -0.059375523
CarNameaudi                 -0.03264867   0.049202824  -0.144320613   0.221921086    -0.013164408 -0.046884403
CarNamebmw                  -0.03499137  -0.239437980   0.262542695  -0.043182233    -0.014109018 -0.050248586
CarNamebuick                 0.11445094  -0.239437980   0.262542695  -0.043182233    -0.014109018 -0.050248586
CarNamechevrolet            -0.02116089   0.102566086  -0.093539896  -0.026114286    -0.008532374  0.142653068
CarNamedodge                -0.03720851   0.180348302  -0.164476994  -0.045918367    -0.015003001 -0.053432462
CarNamehonda                -0.04518249   0.218997875  -0.199725263  -0.055758911    -0.018218222 -0.064883315
CarNameisuzu                -0.02449520  -0.024443868   0.037755149  -0.030229098    -0.009876814 -0.035175796
CarNamejaguar               -0.02116089  -0.144799180   0.158771666  -0.026114286    -0.008532374 -0.030387636
CarNamemaxda                -0.01723519   0.083538336  -0.076186657  -0.021269643    -0.006949473 -0.024750213
CarNamemazda                -0.04878855   0.008346223   0.017026227  -0.060209088    -0.019672237 -0.070061720
CarNamemercury              -0.01215721  -0.083189033   0.091216410  -0.015003001    -0.004901961 -0.017458096
CarNamemitsubishi           -0.04518249   0.218997875  -0.199725263  -0.055758911    -0.018218222 -0.064883315
CarNamenissan               -0.05387218   0.156157897  -0.131079951  -0.066482703    -0.021722028 -0.077361952
CarNamepeugeot              -0.04134705  -0.282928461   0.310229817  -0.051025668    -0.016671719  0.954956324
CarNameplymouth             -0.03264867   0.103724872  -0.088708347  -0.040291148    -0.013164408 -0.046884403
CarNameporsche               0.16015330  -0.187867287   0.205995657  -0.033881546     0.442807443 -0.039425932
CarNamerenault              -0.01723519   0.083538336  -0.076186657  -0.021269643    -0.006949473 -0.024750213
CarNamesaab                 -0.03015075   0.146139604  -0.133278786  -0.037208512    -0.012157212 -0.043297324
CarNamesubaru               -0.04329732  -0.001028728  -0.191392057   0.453681184    -0.017458096 -0.062176166
CarNametoyota                0.00505642  -0.074522926   0.059453088   0.039040242    -0.030111809 -0.107241753
CarNamevolkswagen           -0.03932165   0.190590625  -0.173817955  -0.048526159    -0.015855050 -0.056466993
CarNamevolvo                -0.04134705  -0.282928461   0.310229817  -0.051025668    -0.016671719 -0.059375523
CarNamevw                    0.27719930   0.083538336  -0.076186657  -0.021269643    -0.006949473 -0.024750213
CarNamealpha                 0.46083727  -0.144799180   0.158771666  -0.026114286    -0.008532374 -0.030387636
                     enginetypeohc enginetypeohcf enginetypeohcv enginetyperotor enginetypedohc
car_ID                -0.087575091    0.181373620   -0.054794208   -0.1084639191    0.068119960
symboling             -0.082854691    0.037512790   -0.013597386    0.2459498451    0.116925310
fueltype               0.020583949   -0.092384255   -0.085555946   -0.0463832420   -0.081986265
aspiration             0.020161789    0.034450067    0.070069866    0.0662030790    0.008960952
doornumber             0.021403832    0.022094727   -0.052137885   -0.1594628906   -0.072508497
enginelocation         0.196371462   -0.433726656    0.031710713    0.0171916242    0.030387636
wheelbase             -0.204037283   -0.183195035    0.166151970   -0.0811739215    0.069601249
carlength             -0.274412584   -0.118320169    0.244052559   -0.0578765373    0.171217601
carwidth              -0.286211489   -0.124446030    0.348869321   -0.0136987514    0.057351206
carheight              0.036260098   -0.046670092   -0.065063241   -0.2387199302   -0.101430805
curbweight            -0.413292710   -0.080295031    0.400878000   -0.0391955525    0.202237032
enginesize            -0.363334489   -0.016508113    0.562403272   -0.1847618544    0.182633355
boreratio             -0.410382700    0.326797547    0.119509146    0.0001273477    0.067904497
stroke                 0.366084206   -0.522808218   -0.044813383   -0.0001869765    0.022253436
compressionratio       0.027545225   -0.084328255   -0.086649364   -0.0264361387   -0.071900230
horsepower            -0.427616223    0.044751773    0.431539184    0.0192499613    0.264745392
peakrpm                0.028189136   -0.073885442   -0.060011159    0.2593797256    0.130947320
citympg                0.391236216   -0.032412804   -0.336925699   -0.1830763596   -0.199426923
highwaympg             0.426048837   -0.047086223   -0.360616366   -0.1591728105   -0.214805530
price                 -0.344270146    0.016284870    0.385991282   -0.0045441554    0.151428775
carbodyhardtop        -0.043606450    0.136835083    0.050923820   -0.0284278390   -0.050248586
carbodyhatchback       0.056559712   -0.083820630   -0.018531233    0.1959069445   -0.004275086
carbodysedan           0.080570995   -0.075993562   -0.003522097   -0.1323897416   -0.025797973
carbodywagon          -0.101439120    0.124259993   -0.035805744   -0.0525733582   -0.029427141
carbodyconvertible    -0.150611262    0.062340926    0.073566360   -0.0244952036    0.203256882
drivewheelfwd          0.450078335   -0.067697144   -0.187287776   -0.1676150948   -0.211918007
drivewheelrwd         -0.402779151   -0.099319660    0.214684443    0.1837892163    0.238820352
drivewheel4wd         -0.132724893    0.396933987   -0.055758911   -0.0302290978   -0.053432462
enginetypedohcv       -0.112817987   -0.019672237   -0.018218222   -0.0098768142   -0.017458096
enginetypel           -0.401795805   -0.070061720   -0.064883315   -0.0351757961   -0.062176166
enginetypeohc          1.000000000   -0.452753961   -0.419289987   -0.2273135879   -0.401795805
enginetypeohcf        -0.452753961    1.000000000   -0.073112206   -0.0396370018   -0.070061720
enginetypeohcv        -0.419289987   -0.073112206    1.000000000   -0.0367073497   -0.064883315
enginetyperotor       -0.227313588   -0.039637002   -0.036707350    1.0000000000   -0.035175796
enginetypedohc        -0.401795805   -0.070061720   -0.064883315   -0.0351757961    1.000000000
cylindernumberfive     0.147775367   -0.066905883   -0.061960732   -0.0335913490   -0.059375523
cylindernumberfour     0.396945010    0.016427117   -0.483771977   -0.2622718099   -0.164733884
cylindernumbersix     -0.349709688    0.072472433    0.403302465   -0.0513686675    0.296986506
cylindernumberthree   -0.112817987   -0.019672237   -0.018218222   -0.0098768142   -0.017458096
cylindernumbertwelve  -0.112817987   -0.019672237    0.269069118   -0.0098768142   -0.017458096
cylindernumbertwo     -0.227313588   -0.039637002   -0.036707350    1.0000000000   -0.035175796
cylindernumbereight   -0.254778886   -0.044426166    0.477886389   -0.0223049868   -0.039425932
fuelsystem2bbl         0.217908645    0.127119319   -0.179302205   -0.0972067749   -0.171821116
fuelsystem4bbl        -0.196371462   -0.034241578   -0.031710713    0.8638791170   -0.030387636
fuelsystemidi          0.020583949   -0.092384255   -0.085555946   -0.0463832420   -0.081986265
fuelsystemmpfi        -0.296618865    0.001832396    0.279998434   -0.0603742681    0.268315961
fuelsystemspdi         0.132984122   -0.060209088   -0.055758911   -0.0302290978   -0.053432462
fuelsystemspfi         0.043450171   -0.019672237   -0.018218222   -0.0098768142   -0.017458096
fuelsystem1bbl         0.147775367   -0.066905883   -0.061960732   -0.0335913490   -0.059375523
CarNameaudi            0.116687140   -0.052830565   -0.048925749   -0.0265245724   -0.046884403
CarNamebmw             0.125060008   -0.056621414   -0.052436409   -0.0284278390   -0.050248586
CarNamebuick          -0.099828603   -0.056621414    0.361004508   -0.0284278390   -0.050248586
CarNamechevrolet      -0.015037454   -0.034241578   -0.031710713   -0.0171916242   -0.030387636
CarNamedodge           0.132984122   -0.060209088   -0.055758911   -0.0302290978   -0.053432462
CarNamehonda           0.161483306   -0.073112206   -0.067708333   -0.0367073497   -0.064883315
CarNameisuzu           0.087546449   -0.039637002   -0.036707350   -0.0199004975   -0.035175796
CarNamejaguar         -0.196371462   -0.034241578    0.134973803   -0.0171916242    0.315693771
CarNamemaxda           0.061598984   -0.027889184   -0.025827837   -0.0140022861   -0.024750213
CarNamemazda           0.007138013   -0.078947368   -0.073112206    0.5020686890   -0.070061720
CarNamemercury         0.043450171   -0.019672237   -0.018218222   -0.0098768142   -0.017458096
CarNamemitsubishi      0.161483306   -0.073112206   -0.067708333   -0.0367073497   -0.064883315
CarNamenissan         -0.038282900   -0.087173459    0.343621233   -0.0437670642   -0.077361952
CarNamepeugeot        -0.383697445   -0.066905883   -0.061960732   -0.0335913490   -0.059375523
CarNameplymouth        0.116687140   -0.052830565   -0.048925749   -0.0265245724   -0.046884403
CarNameporsche        -0.184198249    0.319868394   -0.041142537   -0.0223049868   -0.039425932
CarNamerenault         0.061598984   -0.027889184   -0.025827837   -0.0140022861   -0.024750213
CarNamesaab           -0.021425870   -0.048788551   -0.045182489   -0.0244952036    0.203256882
CarNamesubaru         -0.401795805    0.887448459   -0.064883315   -0.0351757961   -0.062176166
CarNametoyota          0.086920080   -0.120842796   -0.111911057   -0.0606713844    0.236266988
CarNamevolkswagen      0.140536542   -0.063628476   -0.058925565   -0.0319458657   -0.056466993
CarNamevolvo           0.099459657   -0.066905883    0.026864094   -0.0335913490   -0.059375523
CarNamevw              0.061598984   -0.027889184   -0.025827837   -0.0140022861   -0.024750213
CarNamealpha          -0.196371462   -0.034241578    0.134973803   -0.0171916242    0.315693771
                     cylindernumberfive cylindernumberfour cylindernumbersix cylindernumberthree
car_ID                     -0.226064931        0.230587259     -0.0356378767        -0.099381634
symboling                  -0.090188215       -0.034160725     -0.0002383124         0.065707423
fueltype                    0.213527188       -0.020184173     -0.0685941255        -0.023020463
aspiration                 -0.225968095       -0.009195148      0.0919872182         0.032857244
doornumber                  0.079792833        0.066087632     -0.0141679991        -0.079143013
enginelocation              0.029018865        0.226571140     -0.3346714067         0.008532374
wheelbase                   0.261182236       -0.309491642      0.1458424060        -0.120708757
carlength                   0.259893887       -0.400209795      0.2629806694        -0.187444549
carwidth                    0.397690229       -0.523134846      0.2092459506        -0.183472547
carheight                   0.152982390        0.059695520     -0.0497773486        -0.015076097
curbweight                  0.264554492       -0.576463094      0.4054896299        -0.143903173
enginesize                  0.144877554       -0.631430899      0.5117829519        -0.111081461
boreratio                  -0.007797133       -0.164075808      0.1283649970        -0.108773983
stroke                      0.176484946       -0.111046380      0.0683878826        -0.050449510
compressionratio            0.173360349       -0.012522072     -0.0655585476        -0.011353532
horsepower                  0.110691524       -0.639551937      0.5335443617        -0.099600002
peakrpm                    -0.021670938       -0.047781799      0.0142557555        -0.003696535
citympg                    -0.207028972        0.541267118     -0.3865506718         0.233665407
highwaympg                 -0.237166635        0.547326093     -0.3666963837         0.226755594
price                       0.249605920       -0.697761660      0.4749779067        -0.071387754
carbodyhardtop              0.063798512       -0.133132121      0.0833169722        -0.014109018
carbodyhatchback           -0.125815844        0.066757429     -0.0702346951         0.097230559
carbodysedan                0.080203466       -0.034177858      0.0535443225        -0.065706341
carbodywagon                0.043564256        0.057521500     -0.0429736691        -0.026092679
carbodyconvertible         -0.041347053       -0.045344556      0.0267844519        -0.012157212
drivewheelfwd              -0.063230224        0.425480616     -0.3402696483         0.058925565
drivewheelrwd              -0.003498011       -0.434460861      0.3801720675        -0.053739900
drivewheel4wd               0.160292754        0.001113610     -0.0780296309        -0.015003001
enginetypedohcv            -0.016671719       -0.130168099     -0.0254947789        -0.004901961
enginetypel                -0.059375523        0.084310705     -0.0907984222         0.280784382
enginetypeohc               0.147775367        0.396945010     -0.3497096884        -0.112817987
enginetypeohcf             -0.066905883        0.016427117      0.0724724331        -0.019672237
enginetypeohcv             -0.061960732       -0.483771977      0.4033024648        -0.018218222
enginetyperotor            -0.033591349       -0.262271810     -0.0513686675        -0.009876814
enginetypedohc             -0.059375523       -0.164733884      0.2969865060        -0.017458096
cylindernumberfive          1.000000000       -0.442705710     -0.0867085275        -0.016671719
cylindernumberfour         -0.442705710        1.000000000     -0.6769958084        -0.130168099
cylindernumbersix          -0.086708528       -0.676995808      1.0000000000        -0.025494779
cylindernumberthree        -0.016671719       -0.130168099     -0.0254947789         1.000000000
cylindernumbertwelve       -0.016671719       -0.130168099     -0.0254947789        -0.004901961
cylindernumbertwo          -0.033591349       -0.262271810     -0.0513686675        -0.009876814
cylindernumbereight        -0.037650043       -0.293960956     -0.0575753170        -0.011070186
fuelsystem2bbl             -0.164081662        0.345607393     -0.2509174707         0.101606233
fuelsystem4bbl             -0.029018865       -0.226571140     -0.0443763191        -0.008532374
fuelsystemidi               0.213527188       -0.020184173     -0.0685941255        -0.023020463
fuelsystemmpfi              0.082586537       -0.367743795      0.3614064607        -0.065065441
fuelsystemspdi             -0.051025668        0.115258662     -0.0780296309        -0.015003001
fuelsystemspfi             -0.016671719        0.037658695     -0.0254947789        -0.004901961
fuelsystem1bbl             -0.056701031        0.128078382     -0.0867085275        -0.016671719
CarNameaudi                 0.670425438       -0.285185050     -0.0684672301        -0.013164408
CarNamebmw                 -0.047985205       -0.253893558      0.3967110876        -0.014109018
CarNamebuick                0.399149663       -0.374654995     -0.0733800856        -0.014109018
CarNamechevrolet           -0.029018865       -0.031824458     -0.0443763191         0.574513150
CarNamedodge               -0.051025668        0.115258662     -0.0780296309        -0.015003001
CarNamehonda               -0.061960732        0.139959188     -0.0947517839        -0.018218222
CarNameisuzu               -0.033591349        0.075877379     -0.0513686675        -0.009876814
CarNamejaguar              -0.029018865       -0.226571140      0.2083221648        -0.008532374
CarNamemaxda               -0.023635373        0.053388452     -0.0361437585        -0.006949473
CarNamemazda               -0.066905883       -0.028473670     -0.1023140232        -0.019672237
CarNamemercury             -0.016671719        0.037658695     -0.0254947789        -0.004901961
CarNamemitsubishi          -0.061960732        0.139959188     -0.0947517839        -0.018218222
CarNamenissan              -0.073877285       -0.081019866      0.2086896580        -0.021722028
CarNamepeugeot             -0.056701031        0.128078382     -0.0867085275        -0.016671719
CarNameplymouth            -0.044772557        0.101133905     -0.0684672301        -0.013164408
CarNameporsche             -0.037650043       -0.218159703      0.2374981826        -0.011070186
CarNamerenault             -0.023635373        0.053388452     -0.0361437585        -0.006949473
CarNamesaab                -0.041347053        0.093396250     -0.0632288700        -0.012157212
CarNamesubaru              -0.059375523        0.134119622     -0.0907984222        -0.017458096
CarNametoyota              -0.102411191        0.102464182      0.0106037723        -0.030111809
CarNamevolkswagen           0.046570306        0.067522015     -0.0824610818        -0.015855050
CarNamevolvo               -0.056701031        0.024299456      0.0479524432        -0.016671719
CarNamevw                  -0.023635373        0.053388452     -0.0361437585        -0.006949473
CarNamealpha               -0.029018865       -0.031824458      0.0819729228        -0.008532374
                     cylindernumbertwelve cylindernumbertwo cylindernumbereight fuelsystem2bbl fuelsystem4bbl
car_ID                       -0.062705078     -0.1084639191        -0.048627654    -0.08503733  -0.0947293819
symboling                    -0.047012424      0.2459498451        -0.004346099    -0.03406852   0.2124709350
fueltype                     -0.023020463     -0.0463832420        -0.051987524    -0.22656546  -0.0400695141
aspiration                    0.032857244      0.0662030790         0.074202105     0.32337824   0.0571914574
doornumber                   -0.079143013     -0.1594628906        -0.051287764     0.02052487  -0.1377566611
enginelocation                0.008532374      0.0171916242         0.019268812     0.08397490   0.0148514851
wheelbase                     0.037802860     -0.0811739215         0.261723565    -0.39650542  -0.0701244556
carlength                     0.100412957     -0.0578765373         0.245778399    -0.48723746  -0.0499983319
carwidth                      0.153516217     -0.0136987514         0.423530068    -0.52259433  -0.0118340652
carheight                    -0.170180553     -0.2387199302         0.016548683    -0.07941850  -0.2062251625
curbweight                    0.187963579     -0.0391955525         0.342655766    -0.57715867  -0.0408012318
enginesize                    0.335554641     -0.1847618544         0.493637920    -0.44256203  -0.1669460272
boreratio                     0.054481797      0.0001273477         0.211989421    -0.35334204   0.0001100130
stroke                       -0.110877564     -0.0001869765        -0.026997291    -0.23486629  -0.0001615251
compressionratio              0.023986189     -0.0264361387        -0.064745964    -0.18338421  -0.0228376282
horsepower                    0.280220241      0.0192499613         0.357062219    -0.54196603  -0.0096296689
peakrpm                      -0.018410898      0.2593797256        -0.091422225    -0.09562452   0.2240727283
citympg                      -0.131093358     -0.1830763596        -0.237904042     0.52075062  -0.1534874568
highwaympg                   -0.140149971     -0.1591728105        -0.265867176     0.52800948  -0.1375060669
price                         0.199633568     -0.0045441554         0.478614427    -0.50137434  -0.0173060426
carbodyhardtop               -0.014109018     -0.0284278390         0.131433429    -0.08494641  -0.0245582165
carbodyhatchback             -0.050415845      0.1959069445        -0.047168504     0.12028812   0.1692399183
carbodysedan                  0.074604075     -0.1323897416        -0.021639597    -0.06083003  -0.1143687331
carbodywagon                 -0.026092679     -0.0525733582        -0.058925565     0.03034932  -0.0454170262
carbodyconvertible           -0.012157212     -0.0244952036         0.160153298    -0.11965026  -0.0211608949
drivewheelfwd                -0.083189033     -0.1676150948        -0.187867287     0.41040350  -0.1447991801
drivewheelrwd                 0.091216410      0.1837892163         0.205995657    -0.46405595   0.1587716659
drivewheel4wd                -0.015003001     -0.0302290978        -0.033881546     0.10713925  -0.0261142863
enginetypedohcv              -0.004901961     -0.0098768142         0.442807443    -0.04824469  -0.0085323735
enginetypel                  -0.017458096     -0.0351757961        -0.039425932    -0.12734722  -0.0303876357
enginetypeohc                -0.112817987     -0.2273135879        -0.254778886     0.21790864  -0.1963714616
enginetypeohcf               -0.019672237     -0.0396370018        -0.044426166     0.12711932  -0.0342415781
enginetypeohcv                0.269069118     -0.0367073497         0.477886389    -0.17930220  -0.0317107128
enginetyperotor              -0.009876814      1.0000000000        -0.022304987    -0.09720677   0.8638791170
enginetypedohc               -0.017458096     -0.0351757961        -0.039425932    -0.17182112  -0.0303876357
cylindernumberfive           -0.016671719     -0.0335913490        -0.037650043    -0.16408166  -0.0290188649
cylindernumberfour           -0.130168099     -0.2622718099        -0.293960956     0.34560739  -0.2265711395
cylindernumbersix            -0.025494779     -0.0513686675        -0.057575317    -0.25091747  -0.0443763191
cylindernumberthree          -0.004901961     -0.0098768142        -0.011070186     0.10160623  -0.0085323735
cylindernumbertwelve          1.000000000     -0.0098768142        -0.011070186    -0.04824469  -0.0085323735
cylindernumbertwo            -0.009876814      1.0000000000        -0.022304987    -0.09720677   0.8638791170
cylindernumbereight          -0.011070186     -0.0223049868         1.000000000    -0.10895184  -0.0192688123
fuelsystem2bbl               -0.048244686     -0.0972067749        -0.108951841     1.00000000  -0.0839749029
fuelsystem4bbl               -0.008532374      0.8638791170        -0.019268812    -0.08397490   1.0000000000
fuelsystemidi                -0.023020463     -0.0463832420        -0.051987524    -0.22656546  -0.0400695141
fuelsystemmpfi                0.075338931     -0.0603742681         0.170139262    -0.64036860  -0.1132531793
fuelsystemspdi               -0.015003001     -0.0302290978        -0.033881546    -0.14765827  -0.0261142863
fuelsystemspfi               -0.004901961     -0.0098768142        -0.011070186    -0.04824469  -0.0085323735
fuelsystem1bbl               -0.016671719     -0.0335913490        -0.037650043    -0.16408166  -0.0290188649
CarNameaudi                  -0.013164408     -0.0265245724        -0.029729420    -0.12956300  -0.0229140242
CarNamebmw                   -0.014109018     -0.0284278390        -0.031862649    -0.13885977  -0.0245582165
CarNamebuick                 -0.014109018     -0.0284278390         0.621321663    -0.13885977  -0.0245582165
CarNamechevrolet             -0.008532374     -0.0171916242        -0.019268812     0.17685623  -0.0148514851
CarNamedodge                 -0.015003001     -0.0302290978        -0.033881546     0.15809876  -0.0261142863
CarNamehonda                 -0.018218222     -0.0367073497        -0.041142537    -0.13646193  -0.0317107128
CarNameisuzu                 -0.009876814     -0.0199004975        -0.022304987     0.12924083  -0.0171916242
CarNamejaguar                 0.574513150     -0.0171916242        -0.019268812    -0.08397490  -0.0148514851
CarNamemaxda                 -0.006949473     -0.0140022861        -0.015694121     0.14404640  -0.0120962825
CarNamemazda                 -0.019672237      0.5020686890        -0.044426166     0.12711932   0.4337266557
CarNamemercury               -0.004901961     -0.0098768142        -0.011070186    -0.04824469  -0.0085323735
CarNamemitsubishi            -0.018218222     -0.0367073497        -0.041142537     0.07773942  -0.0317107128
CarNamenissan                -0.021722028     -0.0437670642        -0.049055246     0.19201183  -0.0378094528
CarNamepeugeot               -0.016671719     -0.0335913490        -0.037650043    -0.16408166  -0.0290188649
CarNameplymouth              -0.013164408     -0.0265245724        -0.029729420     0.15788738  -0.0229140242
CarNameporsche               -0.011070186     -0.0223049868         0.180000000    -0.10895184  -0.0192688123
CarNamerenault               -0.006949473     -0.0140022861        -0.015694121    -0.06839613  -0.0120962825
CarNamesaab                  -0.012157212     -0.0244952036        -0.027454851    -0.11965026  -0.0211608949
CarNamesubaru                -0.017458096     -0.0351757961        -0.039425932     0.18397008  -0.0303876357
CarNametoyota                -0.030111809     -0.0606713844        -0.068002040     0.07759750  -0.0524127420
CarNamevolkswagen            -0.015855050     -0.0319458657        -0.035805744    -0.15604407  -0.0275973662
CarNamevolvo                 -0.016671719     -0.0335913490        -0.037650043    -0.16408166  -0.0290188649
CarNamevw                    -0.006949473     -0.0140022861        -0.015694121    -0.06839613  -0.0120962825
CarNamealpha                 -0.008532374     -0.0171916242        -0.019268812    -0.08397490  -0.0148514851
                     fuelsystemidi fuelsystemmpfi fuelsystemspdi fuelsystemspfi fuelsystem1bbl CarNameaudi
car_ID                  0.12556815    0.174065281   -0.037015231   -0.066254422    -0.26959523 -0.30502089
symboling              -0.19431094    0.029577686    0.181938731    0.065707423    -0.03791135  0.06834787
fueltype                1.00000000   -0.305558658   -0.070456709   -0.023020463    -0.07829330 -0.06182236
aspiration             -0.40139723    0.029157764   -0.394703334    0.032857244     0.11174850 -0.05144460
doornumber              0.19149054    0.013942469   -0.146271782   -0.079143013    -0.09468750  0.05808592
enginelocation          0.04006951   -0.131135260    0.026114286    0.008532374     0.02901886  0.02291402
wheelbase           0    0.343972080   -0.117358799   -0.032128736    -0.19107320  0.11001696
carlength               0.21267882    0.510307801   -0.079789813   -0.008244719    -0.29733047  0.14940546
carwidth                0.23387981    0.463335381   -0.046398661   -0.023157504    -0.19407840  0.24658791
carheight               0.28463106    0.094456296   -0.278615485   -0.066777582    -0.03528897  0.05428071
curbweight              0.21727532    0.524632501   -0.002433751    0.024052137    -0.23385745  0.08874345
enginesize              0.06959429    0.490000189    0.004490197   -0.013327144    -0.16934919  0.01723133
boreratio               0.05445103    0.428798191   -0.004212753    0.025976820    -0.29222638 -0.10918917
stroke                  0.24182882   -0.090039342    0.251258903   -0.005687988     0.14119403  0.08690218
compressionratio        0.98435606   -0.318554712   -0.153726054   -0.016654490    -0.05391081 -0.08268877
horsepower             -0.16392617    0.638029081    0.117664436   -0.025055842    -0.16643212  0.08047177
peakrpm                -0.47688264    0.147271423    0.068748487   -0.018410898     0.32408761  0.14813681
citympg                 0.25596256   -0.653317744   -0.123953808   -0.013083169     0.22749725 -0.18330622
highwaympg              0.19139191   -0.619959187   -0.106614849   -0.017848116     0.20084382 -0.18087442
