                        fueltype   aspiration   doornumber enginelocation    wheelbase    carlength
CarNamemaxda           -0.020002250      0.137843040 -0.0931513914 -0.0369913968        -0.01723519
CarNamemazda           -0.056621414      0.113687752 -0.0009155851 -0.1047134771        -0.04878855
CarNamemercury         -0.014109018      0.097230559 -0.0657063411 -0.0260926788        -0.01215721
CarNamemitsubishi      -0.052436409      0.192518920 -0.0837476468 -0.0969738892        -0.04518249
CarNamenissan           0.026484677     -0.041667256  0.0197142355  0.0423955849        -0.05387218
CarNamepeugeot         -0.047985205     -0.171465841  0.0802034660  0.1758705160        -0.04134705
CarNameplymouth        -0.037890323      0.091183534 -0.0687972075  0.0120124995        -0.03264867
CarNameporsche          0.294729507      0.019518001 -0.1483858100 -0.0589255651         0.16015330
CarNamerenault         -0.020002250      0.033184436 -0.0931513914  0.1146733301        -0.01723519
CarNamesaab            -0.034991372      0.058051914  0.0110335071 -0.0647117044        -0.03015075
CarNamesubaru          -0.050248586     -0.048094713 -0.0257979726  0.1610748773        -0.04329732
CarNametoyota           0.121539740      0.087101695 -0.1342777296  0.0040070586         0.00505642
CarNamevolkswagen      -0.045634634     -0.163066530  0.1959192455 -0.0151910905        -0.03932165
CarNamevolvo           -0.047985205     -0.171465841  0.1235852880  0.1097173861        -0.04134705
CarNamevw              -0.020002250      0.033184436 -0.0931513914 -0.0369913968         0.27719930
CarNamealpha           -0.024558216     -0.002089382 -0.1143687331 -0.0454170262         0.46083727
                       symboling2    symboling3   symboling4   symboling5   symboling6   symboling1
fueltype              0.151571699  0.1564383719 -0.159302223 -0.005523840 -0.128056319 -0.040069514
aspiration           -0.165115430  0.0295471482  0.079080160  0.131943323 -0.117276405 -0.048432405
doornumber            0.306731325  0.4697192906 -0.229681982 -0.215337362 -0.440250184  0.107809561
enginelocation        0.042254283  0.0849146846  0.072877480  0.052412742 -0.312905403  0.014851485
wheelbase             0.422022185  0.2740724183 -0.283085488 -0.180356623 -0.244038269  0.112460389
carlength             0.311840785  0.2488565300 -0.360253311 -0.171754513 -0.028868150  0.146063140
carwidth              0.295533744  0.1068036729 -0.240229729 -0.163605877  0.043741848  0.073587885
carheight             0.310042781  0.3013542747 -0.223721852 -0.035817898 -0.415847620  0.123744853
curbweight            0.276554698  0.1998734382 -0.390703451 -0.183005568  0.137109658  0.106629043
enginesize            0.221476842  0.0975219692 -0.307990616 -0.136164773  0.191348859  0.050660493
boreratio             0.172975461  0.1665278785 -0.431064809 -0.040402239  0.151976147  0.179027895
stroke                0.108863753 -0.0808753006  0.008765412  0.018763187 -0.004435587 -0.041065373
compressionratio      0.077223495  0.0202778006 -0.031089451  0.132365047 -0.189369114 -0.030987331
horsepower            0.171294998 -0.0455721165 -0.260883579 -0.150616445  0.370065494  0.106531718
peakrpm              -0.181098760 -0.2227576647  0.186716695  0.006832289  0.205207666  0.053438762
citympg              -0.130244496 -0.0335514583  0.298749118  0.155249593 -0.363651480 -0.074240654
highwaympg           -0.178201698 -0.0695634206  0.313822828  0.186778787 -0.318756339 -0.086985235
price                 0.176377797  0.0953242161 -0.243035891 -0.170937097  0.192775009  0.038305622
carbodyhardtop       -0.069871115 -0.0867107500 -0.063323133  0.190942655  0.070490686 -0.024558216
carbodyhatchback     -0.183200078 -0.3262924242  0.199929032  0.058759080  0.327932520 -0.087754032
carbodysedan          0.085199958  0.2422692151 -0.050773678 -0.026540217 -0.365505779  0.129856166
carbodywagon          0.207921849  0.2170425255 -0.121337692 -0.160282346 -0.145146187 -0.045417026
carbodyconvertible   -0.060205322 -0.1209892947 -0.103838282  0.005056420  0.360260584 -0.021160895
symboling2            1.000000000 -0.2415926145 -0.207345303 -0.149120631 -0.135038522 -0.042254283
symboling3           -0.241592614  1.0000000000 -0.416683463 -0.299674504 -0.271374939 -0.084914685
symboling4           -0.207345303 -0.4166834626  1.000000000 -0.257193710 -0.232905791 -0.072877480
symboling5           -0.149120631 -0.2996745044 -0.257193710  1.000000000 -0.167503474 -0.052412742
symboling6           -0.135038522 -0.2713749391 -0.232905791 -0.167503474  1.000000000 -0.047463179
symboling1           -0.042254283 -0.0849146846 -0.072877480 -0.052412742 -0.047463179  1.000000000
drivewheelfwd        -0.156049733 -0.0890715638  0.278514799  0.089161358 -0.140683855 -0.144799180
drivewheelrwd         0.190685769  0.0034660542 -0.229727737 -0.107504214  0.178897731  0.158771666
drivewheel4wd        -0.074298324  0.2060141693 -0.128144988  0.039040242 -0.083457448 -0.026114286
enginetypedohcv      -0.024275641 -0.0487846029  0.117078328 -0.030111809 -0.027268221 -0.008532374
enginetypel          -0.086456523  0.3135603860 -0.149114671 -0.049990297 -0.097114449 -0.030387636
enginetypeohc         0.074470550 -0.1942996657  0.222817003  0.116917751 -0.241229850  0.075629549
enginetypeohcf       -0.097421458  0.1636363981 -0.168026289  0.033987036  0.056742045 -0.034241578
enginetypeohcv        0.039116727  0.0320568973 -0.019284643 -0.111911057  0.076223652 -0.031710713
enginetyperotor      -0.048912264 -0.0982946374 -0.084360739 -0.060671384  0.362209708 -0.017191624
enginetypedohc        0.047813077 -0.0851432061 -0.054767425 -0.049990297  0.210114903 -0.030387636
cylindernumberfive    0.127254966 -0.0274653842  0.005034273  0.016874571 -0.092740057 -0.029018865
cylindernumberfour   -0.115729821  0.0008512235  0.109289796  0.134680681 -0.205436651  0.065548883
cylindernumbersix     0.069823410  0.0697429666 -0.114423927 -0.156609561  0.172241556 -0.044376319
cylindernumberthree  -0.024275641 -0.0487846029 -0.041869071  0.162791970 -0.027268221 -0.008532374
cylindernumbertwelve -0.024275641  0.1004817195 -0.041869071 -0.030111809 -0.027268221 -0.008532374
cylindernumbertwo    -0.048912264 -0.0982946374 -0.084360739 -0.060671384  0.362209708 -0.017191624
cylindernumbereight   0.047346374 -0.0427529816  0.049027831 -0.068002040  0.031930532 -0.019268812
fuelsystem2bbl       -0.171455518 -0.0127036801  0.393803818 -0.066231500 -0.237498265 -0.083974903
fuelsystem4bbl       -0.042254283 -0.0849146846 -0.072877480 -0.052412742  0.312905403 -0.014851485
fuelsystemidi         0.151571699  0.1564383719 -0.159302223 -0.005523840 -0.128056319 -0.040069514
fuelsystemmpfi        0.120254011 -0.0427281609 -0.267038220  0.085458875  0.158745891  0.131135260
fuelsystemspdi        0.002626708 -0.1493107501  0.034013793 -0.092160571  0.268574997 -0.026114286
fuelsystemspfi       -0.024275641 -0.0487846029 -0.041869071  0.162791970 -0.027268221 -0.008532374
fuelsystem1bbl       -0.082562203  0.1109871673  0.005034273  0.016874571 -0.092740057 -0.029018865
CarNameaudi          -0.065193188 -0.0737471714  0.070498744  0.141155271 -0.073229877 -0.022914024
CarNamebmw           -0.069871115  0.1818044124 -0.063323133 -0.017266091 -0.078484476 -0.024558216
CarNamebuick          0.255664763 -0.0330077175 -0.063323133 -0.086669006 -0.003996895 -0.024558216
CarNamechevrolet     -0.042254283  0.0016898445  0.019344023  0.059510301 -0.047463179 -0.014851485
CarNamedodge          0.002626708 -0.1493107501  0.250225502 -0.092160571 -0.013050959 -0.026114286
CarNamehonda         -0.090220838  0.1174031823  0.026156183 -0.001614102 -0.101342810 -0.031710713
CarNameisuzu         -0.048912264  0.0520814870 -0.004296149  0.036497630 -0.054941922 -0.017191624
CarNamejaguar        -0.042254283  0.1748989026 -0.072877480 -0.052412742 -0.047463179 -0.014851485
CarNamemaxda         -0.034415396 -0.0691615690  0.165981075 -0.042689288 -0.038657954 -0.012096283
CarNamemazda         -0.097421458  0.0438311781  0.044599570 -0.120842796  0.112133088 -0.034241578
CarNamemercury       -0.024275641 -0.0487846029  0.117078328 -0.030111809 -0.027268221 -0.008532374
CarNamemitsubishi    -0.025552056 -0.1813088152  0.026156183  0.053534376  0.194601294 -0.031710713
CarNamenissan        -0.107572496 -0.0324447606  0.205767296 -0.085944643 -0.018895773 -0.037809453
CarNamepeugeot       -0.082562203  0.3417414198 -0.142397998 -0.102411191 -0.092740057 -0.029018865
CarNameplymouth       0.021589952 -0.1310129673  0.192458595 -0.080866447  0.006199355 -0.022914024
CarNameporsche       -0.054822117 -0.1101711449 -0.022762922 -0.068002040  0.312463065 -0.019268812
CarNamerenault       -0.034415396  0.0366453089 -0.059357470  0.094049839 -0.038657954 -0.012096283
CarNamesaab          -0.060205322 -0.1209892947 -0.103838282  0.164528131  0.189105498 -0.021160895
CarNamesubaru        -0.086456523  0.2249595877 -0.149114671  0.064512617 -0.097114449 -0.030387636
CarNametoyota         0.154839746 -0.0131387143 -0.043609813  0.037210983 -0.088016872 -0.052412742
CarNamevolkswagen    -0.078517866 -0.0129529425 -0.135422585  0.339359117 -0.088197155 -0.027597366
CarNamevolvo          0.476950248 -0.1659179357 -0.142397998 -0.102411191 -0.092740057  0.511787253
CarNamevw            -0.034415396 -0.0691615690 -0.059357470 -0.042689288  0.254856138 -0.012096283
CarNamealpha         -0.042254283 -0.0849146846  0.019344023 -0.052412742  0.192782542 -0.014851485
                     drivewheelfwd drivewheelrwd drivewheel4wd enginetypedohcv enginetypel enginetypeohc
fueltype              -0.090342486   0.122035118  -0.070456709    -0.023020463  0.26816341   0.020583949
aspiration             0.145680828  -0.112470173  -0.085161699     0.032857244 -0.20715612   0.020161789
doornumber             0.033577537  -0.073957879   0.093613940    -0.079143013  0.17871813   0.021403832
enginelocation         0.144799180  -0.158771666   0.026114286     0.008532374  0.03038764   0.196371462
wheelbase             -0.460355093   0.498829873  -0.069003084    -0.004156097  0.39960310  -0.204037283
carlength             -0.508713892   0.538370342  -0.045934185     0.009390820  0.26171532  -0.274412584
carwidth              -0.472116424   0.511148945  -0.069763526     0.209135721  0.21077089  -0.286211489
carheight             -0.100273248   0.039813858   0.147260153    -0.092628325  0.31968668   0.036260098
curbweight            -0.676952487   0.677573054   0.030448857     0.119382460  0.27614609  -0.404385093
enginesize            -0.555253256   0.605099997  -0.091338980     0.151814218  0.04388722  -0.331729233
boreratio             -0.583086742   0.574104942   0.048661599     0.158136261  0.18172894  -0.410382700
stroke                 0.124396839  -0.022324828  -0.246499255    -0.032544901 -0.08468813   0.366084206
compressionratio      -0.009485913   0.082573149  -0.171856250     0.073710385  0.10421237  -0.009798732
horsepower            -0.561315126   0.589607785  -0.040239395     0.129835908 -0.04555111  -0.410093026
peakrpm                0.160938090  -0.123671425  -0.095442989     0.102311696 -0.22834687   0.071842777
citympg                0.579120766  -0.561547480  -0.068729098    -0.091880556 -0.05412685   0.416927676
highwaympg             0.620939022  -0.585918402  -0.111832584    -0.027989820 -0.09968439   0.456637488
price                 -0.601950297   0.638956539  -0.058866139     0.159225044  0.04226724  -0.344270146
carbodyhardtop        -0.188307995   0.210390319  -0.043182233    -0.014109018 -0.05024859  -0.043606450
carbodyhatchback       0.167552114  -0.148046215  -0.053883710     0.097230559 -0.13573397   0.056559712
carbodysedan           0.015971106   0.008293327  -0.057956372    -0.065706341  0.05748682   0.080570995
carbodywagon          -0.079705340  -0.008280466   0.211184198    -0.026092679  0.16107488  -0.101439120
carbodyconvertible    -0.147572345   0.166306204  -0.037208512    -0.012157212 -0.04329732  -0.150611262
symboling2            -0.156049733   0.190685769  -0.074298324    -0.024275641 -0.08645652   0.074470550
symboling3            -0.089071564   0.003466054   0.206014169    -0.048784603  0.31356039  -0.194299666
symboling4             0.278514799  -0.229727737  -0.128144988     0.117078328 -0.14911467   0.222817003
symboling5             0.089161358  -0.107504214   0.039040242    -0.030111809 -0.04999030   0.116917751
symboling6            -0.140683855   0.178897731  -0.083457448    -0.027268221 -0.09711445  -0.241229850
symboling1            -0.144799180   0.158771666  -0.026114286    -0.008532374 -0.03038764   0.075629549
drivewheelfwd          1.000000000  -0.911996352  -0.254609368    -0.083189033 -0.25409586   0.450078335
drivewheelrwd         -0.911996352   1.000000000  -0.164476994     0.091216410  0.28184159  -0.402779151
drivewheel4wd         -0.254609368  -0.164476994   1.000000000    -0.015003001 -0.05343246  -0.132724893
enginetypedohcv       -0.083189033   0.091216410  -0.015003001     1.000000000 -0.01745810  -0.112817987
enginetypel           -0.254095863   0.281841592  -0.053432462    -0.017458096  1.00000000  -0.401795805
enginetypeohc          0.450078335  -0.402779151  -0.132724893    -0.112817987 -0.40179581   1.000000000
enginetypeohcf        -0.067697144  -0.099319660   0.396933987    -0.019672237 -0.07006172  -0.452753961
enginetypeohcv        -0.187287776   0.214684443  -0.055758911    -0.018218222 -0.06488331  -0.419289987
enginetyperotor       -0.167615095   0.183789216  -0.030229098    -0.009876814 -0.03517580  -0.227313588
enginetypedohc        -0.211918007   0.238820352  -0.053432462    -0.017458096 -0.06217617  -0.401795805
cylindernumberfive    -0.063230224  -0.003498011   0.160292754    -0.016671719 -0.05937552   0.147775367
cylindernumberfour     0.425480616  -0.434460861   0.001113610    -0.130168099  0.08431070   0.396945010
cylindernumbersix     -0.340269648   0.380172068  -0.078029631    -0.025494779 -0.09079842  -0.349709688
cylindernumberthree    0.058925565  -0.053739900  -0.015003001    -0.004901961  0.28078438  -0.112817987
cylindernumbertwelve  -0.083189033   0.091216410  -0.015003001    -0.004901961 -0.01745810  -0.112817987
cylindernumbertwo     -0.167615095   0.183789216  -0.030229098    -0.009876814 -0.03517580  -0.227313588
cylindernumbereight   -0.187867287   0.205995657  -0.033881546     0.442807443 -0.03942593  -0.254778886
fuelsystem2bbl         0.410403497  -0.464055954   0.107139252    -0.048244686 -0.12734722   0.217908645
fuelsystem4bbl        -0.144799180   0.158771666  -0.026114286    -0.008532374 -0.03038764  -0.196371462
fuelsystemidi         -0.090342486   0.122035118  -0.070456709    -0.023020463  0.26816341   0.020583949
fuelsystemmpfi        -0.429087137   0.441124995  -0.008151933     0.075338931  0.01829427  -0.296618865
fuelsystemspdi         0.132019672  -0.115181988  -0.045918367    -0.015003001 -0.05343246   0.132984122
fuelsystemspfi        -0.083189033   0.091216410  -0.015003001    -0.004901961 -0.01745810   0.043450171
fuelsystem1bbl         0.200407660  -0.182771055  -0.051025668    -0.016671719 -0.05937552   0.147775367
CarNameaudi            0.049202824  -0.144320613   0.221921086    -0.013164408 -0.04688440   0.116687140
CarNamebmw            -0.239437980   0.262542695  -0.043182233    -0.014109018 -0.05024859   0.125060008
CarNamebuick          -0.239437980   0.262542695  -0.043182233    -0.014109018 -0.05024859  -0.099828603
CarNamechevrolet       0.102566086  -0.093539896  -0.026114286    -0.008532374  0.14265307  -0.015037454
CarNamedodge           0.180348302  -0.164476994  -0.045918367    -0.015003001 -0.05343246   0.132984122
CarNamehonda           0.218997875  -0.199725263  -0.055758911    -0.018218222 -0.06488331   0.161483306
CarNameisuzu          -0.024443868   0.037755149  -0.030229098    -0.009876814 -0.03517580   0.087546449
CarNamejaguar         -0.144799180   0.158771666  -0.026114286    -0.008532374 -0.03038764  -0.196371462
CarNamemaxda           0.083538336  -0.076186657  -0.021269643    -0.006949473 -0.02475021   0.061598984
CarNamemazda           0.008346223   0.017026227  -0.060209088    -0.019672237 -0.07006172   0.007138013
CarNamemercury        -0.083189033   0.091216410  -0.015003001    -0.004901961 -0.01745810   0.043450171
CarNamemitsubishi      0.218997875  -0.199725263  -0.055758911    -0.018218222 -0.06488331   0.161483306
CarNamenissan          0.156157897  -0.131079951  -0.066482703    -0.021722028 -0.07736195  -0.038282900
CarNamepeugeot        -0.282928461   0.310229817  -0.051025668    -0.016671719  0.95495632  -0.383697445
CarNameplymouth        0.103724872  -0.088708347  -0.040291148    -0.013164408 -0.04688440   0.116687140
CarNameporsche        -0.187867287   0.205995657  -0.033881546     0.442807443 -0.03942593  -0.184198249
CarNamerenault         0.083538336  -0.076186657  -0.021269643    -0.006949473 -0.02475021   0.061598984
CarNamesaab            0.146139604  -0.133278786  -0.037208512    -0.012157212 -0.04329732  -0.021425870
CarNamesubaru         -0.001028728  -0.191392057   0.453681184    -0.017458096 -0.06217617  -0.401795805
CarNametoyota         -0.074522926   0.059453088   0.039040242    -0.030111809 -0.10724175   0.086920080
CarNamevolkswagen      0.190590625  -0.173817955  -0.048526159    -0.015855050 -0.05646699   0.140536542
CarNamevolvo          -0.282928461   0.310229817  -0.051025668    -0.016671719 -0.05937552   0.099459657
CarNamevw              0.083538336  -0.076186657  -0.021269643    -0.006949473 -0.02475021   0.061598984
CarNamealpha          -0.144799180   0.158771666  -0.026114286    -0.008532374 -0.03038764  -0.196371462
                     enginetypeohcf enginetypeohcv enginetyperotor enginetypedohc cylindernumberfive
fueltype              -0.0923842554   -0.085555946   -0.0463832420   -0.081986265        0.213527188
aspiration             0.0344500669    0.070069866    0.0662030790    0.008960952       -0.225968095
doornumber             0.0220947271   -0.052137885   -0.1594628906   -0.072508497        0.079792833
enginelocation        -0.4337266557    0.031710713    0.0171916242    0.030387636        0.029018865
wheelbase             -0.1831950349    0.166151970   -0.0811739215    0.069601249        0.261182236
carlength             -0.1183201690    0.244052559   -0.0578765373    0.171217601        0.259893887
carwidth              -0.1244460302    0.348869321   -0.0136987514    0.057351206        0.397690229
carheight             -0.0466700922   -0.065063241   -0.2387199302   -0.101430805        0.152982390
curbweight            -0.0772692893    0.377221146   -0.0375952338    0.176464597        0.267756809
enginesize             0.0049880707    0.476930853   -0.2242319231    0.175636656        0.208343202
boreratio              0.3267975474    0.119509146    0.0001273477    0.067904497       -0.007797133
stroke                -0.5228082177   -0.044813383   -0.0001869765    0.022253436        0.176484946
compressionratio      -0.0336696603   -0.081711649    0.0536893345   -0.016843321        0.033875218
horsepower            -0.0005458211    0.431032434    0.0347292587    0.322366475        0.153116960
peakrpm               -0.0811524275   -0.054226929    0.2221765217    0.076280734       -0.013668520
citympg               -0.0283181650   -0.351218985   -0.1908498072   -0.205849799       -0.214139844
highwaympg            -0.0417460361   -0.380565265   -0.1671348310   -0.223653324       -0.248131692
price                  0.0162848704    0.385991282   -0.0045441554    0.151428775        0.249605920
carbodyhardtop         0.1368350834    0.050923820   -0.0284278390   -0.050248586        0.063798512
carbodyhatchback      -0.0838206304   -0.018531233    0.1959069445   -0.004275086       -0.125815844
carbodysedan          -0.0759935620   -0.003522097   -0.1323897416   -0.025797973        0.080203466
carbodywagon           0.1242599928   -0.035805744   -0.0525733582   -0.029427141        0.043564256
carbodyconvertible     0.0623409257    0.073566360   -0.0244952036    0.203256882       -0.041347053
symboling2            -0.0974214579    0.039116727   -0.0489122637    0.047813077        0.127254966
symboling3             0.1636363981    0.032056897   -0.0982946374   -0.085143206       -0.027465384
symboling4            -0.1680262888   -0.019284643   -0.0843607386   -0.054767425        0.005034273
symboling5             0.0339870365   -0.111911057   -0.0606713844   -0.049990297        0.016874571
symboling6             0.0567420447    0.076223652    0.3622097079    0.210114903       -0.092740057
symboling1            -0.0342415781   -0.031710713   -0.0171916242   -0.030387636       -0.029018865
drivewheelfwd         -0.0676971442   -0.187287776   -0.1676150948   -0.211918007       -0.063230224
drivewheelrwd         -0.0993196595    0.214684443    0.1837892163    0.238820352       -0.003498011
drivewheel4wd          0.3969339868   -0.055758911   -0.0302290978   -0.053432462        0.160292754
enginetypedohcv       -0.0196722369   -0.018218222   -0.0098768142   -0.017458096       -0.016671719
enginetypel           -0.0700617204   -0.064883315   -0.0351757961   -0.062176166       -0.059375523
enginetypeohc         -0.4527539614   -0.419289987   -0.2273135879   -0.401795805        0.147775367
enginetypeohcf         1.0000000000   -0.073112206   -0.0396370018   -0.070061720       -0.066905883
enginetypeohcv        -0.0731122065    1.000000000   -0.0367073497   -0.064883315       -0.061960732
enginetyperotor       -0.0396370018   -0.036707350    1.0000000000   -0.035175796       -0.033591349
enginetypedohc        -0.0700617204   -0.064883315   -0.0351757961    1.000000000       -0.059375523
cylindernumberfive    -0.0669058830   -0.061960732   -0.0335913490   -0.059375523        1.000000000
cylindernumberfour     0.0164271172   -0.483771977   -0.2622718099   -0.164733884       -0.442705710
cylindernumbersix      0.0724724331    0.403302465   -0.0513686675    0.296986506       -0.086708528
cylindernumberthree   -0.0196722369   -0.018218222   -0.0098768142   -0.017458096       -0.016671719
cylindernumbertwelve  -0.0196722369    0.269069118   -0.0098768142   -0.017458096       -0.016671719
cylindernumbertwo     -0.0396370018   -0.036707350    1.0000000000   -0.035175796       -0.033591349
cylindernumbereight   -0.0444261658    0.477886389   -0.0223049868   -0.039425932       -0.037650043
fuelsystem2bbl         0.1271193193   -0.179302205   -0.0972067749   -0.171821116       -0.164081662
fuelsystem4bbl        -0.0342415781   -0.031710713    0.8638791170   -0.030387636       -0.029018865
fuelsystemidi         -0.0923842554   -0.085555946   -0.0463832420   -0.081986265        0.213527188
fuelsystemmpfi         0.0018323964    0.279998434   -0.0603742681    0.268315961        0.082586537
fuelsystemspdi        -0.0602090879   -0.055758911   -0.0302290978   -0.053432462       -0.051025668
fuelsystemspfi        -0.0196722369   -0.018218222   -0.0098768142   -0.017458096       -0.016671719
fuelsystem1bbl        -0.0669058830   -0.061960732   -0.0335913490   -0.059375523       -0.056701031
CarNameaudi           -0.0528305648   -0.048925749   -0.0265245724   -0.046884403        0.670425438
CarNamebmw            -0.0566214138   -0.052436409   -0.0284278390   -0.050248586       -0.047985205
CarNamebuick          -0.0566214138    0.361004508   -0.0284278390   -0.050248586        0.399149663
CarNamechevrolet      -0.0342415781   -0.031710713   -0.0171916242   -0.030387636       -0.029018865
CarNamedodge          -0.0602090879   -0.055758911   -0.0302290978   -0.053432462       -0.051025668
CarNamehonda          -0.0731122065   -0.067708333   -0.0367073497   -0.064883315       -0.061960732
CarNameisuzu          -0.0396370018   -0.036707350   -0.0199004975   -0.035175796       -0.033591349
CarNamejaguar         -0.0342415781    0.134973803   -0.0171916242    0.315693771       -0.029018865
CarNamemaxda          -0.0278891840   -0.025827837   -0.0140022861   -0.024750213       -0.023635373
CarNamemazda          -0.0789473684   -0.073112206    0.5020686890   -0.070061720       -0.066905883
CarNamemercury        -0.0196722369   -0.018218222   -0.0098768142   -0.017458096       -0.016671719
CarNamemitsubishi     -0.0731122065   -0.067708333   -0.0367073497   -0.064883315       -0.061960732
CarNamenissan         -0.0871734589    0.343621233   -0.0437670642   -0.077361952       -0.073877285
CarNamepeugeot        -0.0669058830   -0.061960732   -0.0335913490   -0.059375523       -0.056701031
CarNameplymouth       -0.0528305648   -0.048925749   -0.0265245724   -0.046884403       -0.044772557
CarNameporsche         0.3198683940   -0.041142537   -0.0223049868   -0.039425932       -0.037650043
CarNamerenault        -0.0278891840   -0.025827837   -0.0140022861   -0.024750213       -0.023635373
CarNamesaab           -0.0487885506   -0.045182489   -0.0244952036    0.203256882       -0.041347053
CarNamesubaru          0.8874484587   -0.064883315   -0.0351757961   -0.062176166       -0.059375523
CarNametoyota         -0.1208427964   -0.111911057   -0.0606713844    0.236266988       -0.102411191
CarNamevolkswagen     -0.0636284763   -0.058925565   -0.0319458657   -0.056466993        0.046570306
CarNamevolvo          -0.0669058830    0.026864094   -0.0335913490   -0.059375523       -0.056701031
CarNamevw             -0.0278891840   -0.025827837   -0.0140022861   -0.024750213       -0.023635373
CarNamealpha          -0.0342415781    0.134973803   -0.0171916242    0.315693771       -0.029018865
                     cylindernumberfour cylindernumbersix cylindernumberthree cylindernumbertwelve
fueltype                  -0.0201841730       -0.06859413        -0.023020463         -0.023020463
aspiration                -0.0091951477        0.09198722         0.032857244          0.032857244
doornumber                 0.0660876321       -0.01416800        -0.079143013         -0.079143013
enginelocation             0.2265711395       -0.33467141         0.008532374          0.008532374
wheelbase                 -0.3094916419        0.14584241        -0.120708757          0.037802860
carlength                 -0.4002097948        0.26298067        -0.187444549          0.100412957
carwidth                  -0.5231348459        0.20924595        -0.183472547          0.153516217
carheight                  0.0596955204       -0.04977735        -0.015076097         -0.170180553
curbweight                -0.5597217772        0.41106923        -0.152145846          0.139190435
enginesize                -0.6379250761        0.61031618        -0.136191255          0.151814218
boreratio                 -0.1640758085        0.12836500        -0.108773983          0.054481797
stroke                    -0.1110463801        0.06838788        -0.050449510         -0.110877564
compressionratio           0.0109184305       -0.05451406         0.034490522          0.147443727
horsepower                -0.6263622507        0.55303107        -0.114665718          0.129835908
peakrpm                   -0.0445062788        0.02000988        -0.001125584         -0.017039012
citympg                    0.5787432735       -0.40154717         0.146687473         -0.137322085
highwaympg                 0.5913635377       -0.38377975         0.136892740         -0.148903697
price                     -0.6977616599        0.47497791        -0.071387754          0.199633568
carbodyhardtop            -0.1331321208        0.08331697        -0.014109018         -0.014109018
carbodyhatchback           0.0667574287       -0.07023470         0.097230559         -0.050415845
carbodysedan              -0.0341778583        0.05354432        -0.065706341          0.074604075
carbodywagon               0.0575215003       -0.04297367        -0.026092679         -0.026092679
carbodyconvertible        -0.0453445563        0.02678445        -0.012157212         -0.012157212
symboling2                -0.1157298208        0.06982341        -0.024275641         -0.024275641
symboling3                 0.0008512235        0.06974297        -0.048784603          0.100481719
symboling4                 0.1092897959       -0.11442393        -0.041869071         -0.041869071
symboling5                 0.1346806808       -0.15660956         0.162791970         -0.030111809
symboling6                -0.2054366512        0.17224156        -0.027268221         -0.027268221
symboling1                 0.0655488831       -0.04437632        -0.008532374         -0.008532374
drivewheelfwd              0.4254806162       -0.34026965         0.058925565         -0.083189033
drivewheelrwd             -0.4344608610        0.38017207        -0.053739900          0.091216410
drivewheel4wd              0.0011136103       -0.07802963        -0.015003001         -0.015003001
enginetypedohcv           -0.1301680991       -0.02549478        -0.004901961         -0.004901961
enginetypel                0.0843107047       -0.09079842         0.280784382         -0.017458096
enginetypeohc              0.3969450105       -0.34970969        -0.112817987         -0.112817987
enginetypeohcf             0.0164271172        0.07247243        -0.019672237         -0.019672237
enginetypeohcv            -0.4837719774        0.40330246        -0.018218222          0.269069118
enginetyperotor           -0.2622718099       -0.05136867        -0.009876814         -0.009876814
enginetypedohc            -0.1647338841        0.29698651        -0.017458096         -0.017458096
cylindernumberfive        -0.4427057104       -0.08670853        -0.016671719         -0.016671719
cylindernumberfour         1.0000000000       -0.67699581        -0.130168099         -0.130168099
cylindernumbersix         -0.6769958084        1.00000000        -0.025494779         -0.025494779
cylindernumberthree       -0.1301680991       -0.02549478         1.000000000         -0.004901961
cylindernumbertwelve      -0.1301680991       -0.02549478        -0.004901961          1.000000000
cylindernumbertwo         -0.2622718099       -0.05136867        -0.009876814         -0.009876814
cylindernumbereight       -0.2939609557       -0.05757532        -0.011070186         -0.011070186
fuelsystem2bbl             0.3456073925       -0.25091747         0.101606233         -0.048244686
fuelsystem4bbl            -0.2265711395       -0.04437632        -0.008532374         -0.008532374
fuelsystemidi             -0.0201841730       -0.06859413        -0.023020463         -0.023020463
fuelsystemmpfi            -0.3677437954        0.36140646        -0.065065441          0.075338931
fuelsystemspdi             0.1152586617       -0.07802963        -0.015003001         -0.015003001
fuelsystemspfi             0.0376586953       -0.02549478        -0.004901961         -0.004901961
fuelsystem1bbl             0.1280783816       -0.08670853        -0.016671719         -0.016671719
CarNameaudi               -0.2851850502       -0.06846723        -0.013164408         -0.013164408
CarNamebmw                -0.2538935577        0.39671109        -0.014109018         -0.014109018
CarNamebuick              -0.3746549947       -0.07338009        -0.014109018         -0.014109018
CarNamechevrolet          -0.0318244578       -0.04437632         0.574513150         -0.008532374
CarNamedodge               0.1152586617       -0.07802963        -0.015003001         -0.015003001
CarNamehonda               0.1399591884       -0.09475178        -0.018218222         -0.018218222
CarNameisuzu               0.0758773790       -0.05136867        -0.009876814         -0.009876814
CarNamejaguar             -0.2265711395        0.20832216        -0.008532374          0.574513150
CarNamemaxda               0.0533884525       -0.03614376        -0.006949473         -0.006949473
CarNamemazda              -0.0284736698       -0.10231402        -0.019672237         -0.019672237
CarNamemercury             0.0376586953       -0.02549478        -0.004901961         -0.004901961
CarNamemitsubishi          0.1399591884       -0.09475178        -0.018218222         -0.018218222
CarNamenissan             -0.0810198658        0.20868966        -0.021722028         -0.021722028
CarNamepeugeot             0.1280783816       -0.08670853        -0.016671719         -0.016671719
